,Nome do repositório,Tamanho em KB
0,.github,5
1,aioshumway,26
2,android-auth,1161
3,android-sdk,2687
4,android-store-service,61
5,annoy,2020
6,annoy-java,1007
7,apollo,2867
8,apollo-elide,36
9,apollo-metrics,114
10,apps-tutorial,9178
11,argo-rollouts,92534
12,async-datastore-client,128
13,async-google-pubsub-client,359
14,backup-utils,3146
15,basic-pitch,288126
16,basic-pitch-ts,10055
17,batty,104
18,bazel,938510
19,bazel-tools,591
20,beam,211855
21,big-data-rosetta-code,350
22,bigtable-autoscaler,1913
23,boilerplate-app,193
24,bucket-runner,822
25,cartography,1942
26,cassandra-extra,186
27,cassandra-medusa,125
28,cassandra-opstools,203
29,cassandra-reaper,23363
30,causify,0
31,certcheck,785
32,chartify,23508
33,code-of-conduct,10
34,collectd,6166
35,comet,591
36,comet-common,70
37,comet-core,175
38,completable-futures,1346
39,condor,76
40,confidence,9699
41,confidence-sdk-android,1591
42,confidence-sdk-flutter,180
43,confidence-sdk-go,123
44,confidence-sdk-java,483
45,confidence-sdk-js,3119
46,confidence-sdk-python,104
47,confidence-sdk-rust,81
48,confidence-sdk-swift,722
49,container-agent,403
50,conversion-api-tag-template,38
51,cookiecutter-golang,60
52,coordinator,62027
53,crtauth,137
54,crtauth-java,565
55,crtauth-java-agent-signer-apache,128
56,crunch-lib,364
57,cstar,332
58,daemon-java,136
59,dataenum,233
60,DataflowJavaSDK,6534
61,dataproc-java-submitter,40
62,dataprocxy,21
63,dbeam,1224
64,debify,112
65,dh-virtualenv,446
66,diffuser,133
67,dns-java,249
68,docgenerator,61
69,docker-alpine,4
70,docker-bigtable,10
71,docker-cassandra,39
72,docker-client,3609
73,docker-gc,159
74,docker-kafka,1270
75,docker-maven-plugin,803
76,docker-stress,27
77,dockerfile-maven,257
78,dockerfile-mode,90
79,docker_interface,85
80,drserv,368
81,druid,294781
82,duck,541
83,echoprint-codegen,1484
84,echoprint-server,2954
85,elasticsearch-index-window,183
86,elitzur,435
87,eslint-config-oss,963
88,etcd,10224
89,featran,3063
90,ffwd,2076
91,ffwd-client-java,408
92,ffwd-http-client,74
93,ffwd-ruby,1250
94,flink,308547
95,flink-docker,369
96,flink-on-k8s-operator,3086
97,flo,19512
98,flume-syslog-source2,146
99,flyte-flink-plugin,668
100,fmt-maven-plugin,286
101,folsom,1176
102,foss-root,68
103,futures-extra,255
104,futuristic-feline,685
105,gcp-audit,19
106,gcp-aws-iam-federation-webidentity,7
107,gcp-firewall-enforcer,12
108,gcs-tools,197
109,ghelog,212
110,gimme,156
111,git-test,45
112,github-java-client,813
113,google-http-java-client,6491
114,gordon,198
115,gordon-gcp,571
116,gordon-introspection,75
117,gordon-janitor,103
118,gordon-janitor-gcp,180
119,griffin,1353
120,hadoop-openpgp-codec,138
121,hdfs2cass,206
122,helios,7755
123,helios-go,204
124,helios-skydns,322
125,heroic,9886
126,heroic-client-go,15
127,heroic-client-java,58
128,homebrew-public,289
129,hornet,662
130,HubFramework,148010
131,hush-tab,28
132,hype,537
133,hyperflo,23
134,ieee-spm-vocals-tutorial,9036
135,ios-auth,320
136,ios-ci,39
137,ios-sdk,47135
138,ios-style,16
139,java-hamcrest,222
140,java-lkk,140
141,java-locales,76
142,jenkins-coverage-poster,153
143,jira-lkk-bridge,124
144,JniHelpers,411
145,jsconfeu-2013,927
146,kafka,25303
147,kairosdb,38318
148,kernel-common,1031504
149,klio,77301
150,lemur,8659
151,lighthouse-audit-service,1663
152,limbo,139
153,lingon,515
154,linux,312288
155,logging-java,166
156,luigi,11012
157,lyceum,43
158,mace,105
159,magnolify,4993
160,metrics-munin-reporter,168
161,missinglink,5746
162,mlockexec,11
163,mobius,1624
164,mobius-android-sample,1816
165,Mobius.swift,1021
166,moob,585
167,netty-batch-flusher,10
168,netty-zmtp,583
169,noether,1479
170,okta-sdk-python,132
171,openfeature-kotlin-sdk,170
172,openfeature-swift-sdk,102
173,pedalboard,26717
174,PeqBank,3389
175,perf-map-agent,118
176,phpconf-argentina-2014,394
177,platform-external-bluetooth-bluez,20284
178,polly-jest-presets,3658
179,postgresql-metrics,82
180,proto-registry,2666
181,proto-requests,592
182,protoman,541
183,puppet-talos,21
184,pyeos,277
185,pyfg,48
186,pyschema,1006
187,python-graphwalker,155
188,pythonflow,227
189,pywk,180
190,quickstart,86
191,ratatool,1347
192,react-native-lookback,876
193,reactochart,107686
194,realbook,61
195,redux-location-state,3685
196,requests-crtauth,200
197,robolectric,43398
198,rspec-dns,71
199,rspec-dnsruby,248
200,ruler,37036
201,s3mper,230
202,scanctl,50
203,scio,74239
204,scio-contrib,62
205,scio-idea-plugin,302
206,scio.g8,215
207,sekexe,5150
208,semantic-metrics,450
209,should-up,20
210,shumway,60
211,simple-bigtable,175
212,skydns,404
213,skygc,120
214,snakebite,4773
215,soa-reference-integration,726
216,soundcheck-demo-environment,3132
217,spark-bigquery,63
218,sparkey,170
219,sparkey-java,365
220,sparkey-python,69
221,spawn,18
222,spotify-checkstyle-config,75
223,spotify-heroic-datasource,1360
224,spotify-js-challenge,563
225,spotify-json,7770
226,spotify-tensorflow,1090
227,spotify-web-api-ts-sdk,752
228,spotify-web-playback-sdk-example,26
229,spotify.github.io,1385
230,SpotifyLogin,150
231,sprunch,374
232,SPStackedNav,330
233,SPTDataLoader,1353
234,SPTPersistentCache,3948
235,spydra,576
236,spymaster,7
237,squashing-census-exporter,82
238,ssh-agent-proxy,96
239,ssh-agent-tls,101
240,styx,9731
241,super-smash-brogp,1480
242,swupdate,13176
243,syslog-redirector,375
244,syslog-redirector-golang,71192
245,talos,60
246,terraform-gke-kubeflow-cluster,26
247,terraform-google-aws-hybrid-cloud-vpn,31
248,terraform-google-grr,69
249,testing-game,38
250,tfexample-derive,144
251,tfreader,1084
252,tfx,238780
253,threaddump-analyzer,502
254,trickle,277
255,ts-interface-loader,2184
256,tutter-jenkins,7
257,uboot,89805
258,ulogger,76
259,Vandelay,157
260,vdisk,58
261,vispana,20720
262,visualizer-app,744
263,volcano,68745
264,voyager,12529
265,wasd,232
266,web-api,43
267,web-api-examples,66
268,web-audio-bench,977
269,web-playback-sdk,8
270,web-scripts,7907
271,web-scripts-library-template,112
272,XCMetrics,31799
273,XCRemoteCache,5377
274,zoltar,1962
